name,date,temp,prcp,wdsp
KIELCE,2021-09-17,14,0.33,4
ZIELONA GORA,2021-07-25,21,0.0,5.3
KATOWICE,2021-11-07,6,0.0,13
ZIELONA GORA,2021-03-14,4,0.08,9.1
GORZOW WLKP,2021-04-30,7,0.0,6.7
BIALYSTOK,2021-07-03,21,0.22,3.9
SZCZECIN,2021-10-21,12,0.0,11.7
KATOWICE,2021-05-25,12,0.11,8.2
OPOLE,2021-04-29,14,,6.9
ZIELONA GORA,2021-11-07,6,0.01,9.1
GORZOW WLKP,2021-04-12,5,0.0,6.2
ZIELONA GORA,2021-03-23,4,0.0,5.2
BIALYSTOK,2021-11-19,10,0.22,9.6
SZCZECIN,2021-04-12,5,0.0,9.4
KATOWICE,2021-12-31,9,0.27,11.6
KIELCE,2021-12-19,3,0.01,8.9
ZIELONA GORA,2021-09-25,17,0.0,4.9
BIALYSTOK,2021-11-05,8,0.0,7.1
GDANSK,2021-05-06,8,0.0,13.1
KIELCE,2021-11-19,8,0.15,7.7
OLSZTYN,2021-09-01,15,0.83,10.3
ZIELONA GORA,2021-08-28,14,0.19,2.4
BIALYSTOK,2021-09-17,15,0.17,3.5
SZCZECIN,2021-08-19,18,0.04,8.6
KATOWICE,2021-05-01,9,0.05,5.5
KATOWICE,2021-05-12,20,0.0,7.1
GDANSK,2021-01-22,4,0.0,9.2
GDANSK,2021-05-27,12,0.04,5.5
GDANSK,2021-11-07,8,0.0,11.4
OLSZTYN,2021-05-25,13,0.02,5
GORZOW WLKP,2021-03-15,4,0.03,5.1
GDANSK,2021-11-20,10,0.01,11.5
